Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Country,Gender,Timestamp,Clicked on Ad
68.95,35,61833.9,256.09,Cloned 5thgeneration orchestration,Wrightburgh,Tunisia,Male,3/27/16 0:53,No
80.23,31,68441.85,193.77,Monitored national standardization,West Jodi,Nauru,Male,4/4/16 1:39,No
69.47,26,59785.94,236.5,Organic bottom-line service-desk,Davidton,San Marino,Male,3/13/16 20:35,No
74.15,29,54806.18,245.89,Triple-buffered reciprocal time-frame,West Terrifurt,Italy,Male,1/10/16 2:31,No
68.37,35,73889.99,225.58,Robust logistical utilization,South Manuel,Iceland,Male,6/3/16 3:36,No
59.99,23,59761.56,226.74,Sharable client-driven software,Jamieberg,Norway,Female,5/19/16 14:30,No
88.91,33,53852.85,208.36,Enhanced dedicated support,Brandonstad,Myanmar,Female,1/28/16 20:59,No
66,48,24593.33,131.76,Reactive local challenge,Port Jefferybury,Australia,Male,3/7/16 1:40,Yes
74.53,30,68862,221.51,Configurable coherent function,West Colin,Grenada,Female,4/18/16 9:33,No
69.88,20,55642.32,183.82,Mandatory homogeneous architecture,Ramirezton,Ghana,Female,7/11/16 1:42,No
47.64,49,45632.51,122.02,Centralized neutral neural-net,West Brandonton,Qatar,Male,3/16/16 20:19,Yes
83.07,37,62491.01,230.87,Team-oriented grid-enabled Local Area Network,East Theresashire,Burundi,Male,5/8/16 8:10,No
69.57,48,51636.92,113.12,Centralized content-based focus group,West Katiefurt,Egypt,Male,6/3/16 1:14,Yes
79.52,24,51739.63,214.23,Synergistic fresh-thinking array,North Tara,Bosnia and Herzegovina,Male,4/20/16 21:49,No
42.95,33,30976,143.56,Grass-roots coherent extranet,West William,Barbados,Female,3/24/16 9:31,Yes
63.45,23,52182.23,140.64,Persistent demand-driven interface,New Travistown,Spain,Female,3/9/16 3:41,Yes
55.39,37,23936.86,129.41,Customizable multi-tasking website,West Dylanberg,Palestinian Territory,Female,1/30/16 19:20,Yes
82.03,41,71511.08,187.53,Intuitive dynamic attitude,Pruittmouth,Afghanistan,Female,5/2/16 7:00,No
54.7,36,31087.54,118.39,Grass-roots solution-oriented conglomeration,Jessicastad,British Indian Ocean Territory (Chagos Archipelago),Male,2/13/16 7:53,Yes
74.58,40,23821.72,135.51,Advanced 24/7 productivity,Millertown,Russian Federation,Female,2/27/16 4:43,Yes
77.22,30,64802.33,224.44,Object-based reciprocal knowledgebase,Port Jacqueline,Cameroon,Male,1/5/16 7:52,No
84.59,35,60015.57,226.54,Streamlined non-volatile analyzer,Lake Nicole,Cameroon,Male,3/18/16 13:22,No
41.49,52,32635.7,164.83,Mandatory disintermediate utilization,South John,Burundi,Male,5/20/16 8:49,Yes
87.29,36,61628.72,209.93,Future-proofed methodical protocol,Pamelamouth,Korea,Female,3/23/16 9:43,No
41.39,41,68962.32,167.22,Exclusive neutral parallelism,Harperborough,Tokelau,Female,6/13/16 17:27,Yes
78.74,28,64828,204.79,Public-key foreground groupware,Port Danielleberg,Monaco,Male,5/27/16 15:25,No
48.53,28,38067.08,134.14,Ameliorated client-driven forecast,West Jeremyside,Tuvalu,Male,2/8/16 10:46,Yes
51.95,52,58295.82,129.23,Monitored systematic hierarchy,South Cathyfurt,Greece,Female,7/19/16 8:32,Yes
70.2,34,32708.94,119.2,Open-architected impactful productivity,Palmerside,British Virgin Islands,Female,4/14/16 5:08,Yes
76.02,22,46179.97,209.82,Business-focused value-added definition,West Guybury,Bouvet Island (Bouvetoya),Male,1/27/16 12:38,No
67.64,35,51473.28,267.01,Programmable asymmetric data-warehouse,Phelpschester,Peru,Male,7/2/16 20:23,No
86.41,28,45593.93,207.48,Digitized static capability,Lake Melindamouth,Aruba,Female,3/1/16 22:13,No
59.05,57,25583.29,169.23,Digitized global capability,North Richardburgh,Maldives,Female,7/15/16 5:05,Yes
55.6,23,30227.98,212.58,Multi-layered 4thgeneration knowledge user,Port Cassie,Senegal,Female,1/14/16 14:00,Yes
57.64,57,45580.92,133.81,Synchronized dedicated service-desk,New Thomas,Dominica,Male,3/15/16 3:12,Yes
84.37,30,61389.5,201.58,Synchronized systemic hierarchy,Johnstad,Luxembourg,Male,4/12/16 3:26,No
62.26,53,56770.79,125.45,Profound stable product,West Aprilport,Montenegro,Female,4/7/16 15:18,Yes
65.82,39,76435.3,221.94,Reactive demand-driven capacity,Kellytown,Ukraine,Male,2/9/16 5:28,No
50.43,46,57425.87,119.32,Persevering needs-based open architecture,Charlesport,Saint Helena,Male,5/7/16 17:11,Yes
38.93,39,27508.41,162.08,Intuitive exuding service-desk,Millerchester,Liberia,Female,3/11/16 6:49,Yes
84.98,29,57691.95,202.61,Innovative user-facing extranet,Mackenziemouth,Russian Federation,Female,4/27/16 9:27,No
64.24,30,59784.18,252.36,Front-line intermediate database,Zacharystad,Tunisia,Male,4/16/16 11:53,No
82.52,32,66572.39,198.11,Persevering exuding system engine,North Joshua,Turkmenistan,Female,5/8/16 15:38,No
81.38,31,64929.61,212.3,Balanced dynamic application,Bowenview,Saint Helena,Male,2/8/16 0:23,No
80.47,25,57519.64,204.86,Reduced global support,Jamesberg,Niger,Female,2/11/16 13:26,No
37.68,52,53575.48,172.83,Organic leadingedge secured line,Lake Cassandraport,Turkmenistan,Female,2/17/16 13:16,Yes
69.62,20,50983.75,202.25,Business-focused encompassing neural-net,New Sharon,Qatar,Female,2/26/16 22:46,No
85.4,43,67058.72,198.72,Triple-buffered demand-driven alliance,Johnport,Sri Lanka,Female,6/8/16 18:54,No
44.33,37,52723.34,123.72,Visionary maximized process improvement,Hamiltonfort,Trinidad and Tobago,Female,1/8/16 9:32,Yes
48.01,46,54286.1,119.93,Centralized 24/7 installation,West Christopher,Italy,Female,4/25/16 11:01,Yes
73.18,23,61526.25,196.71,Organized static focus group,Hollandberg,British Virgin Islands,Female,4/4/16 7:07,No
79.94,28,58526.04,225.29,Visionary reciprocal circuit,Odomville,United Kingdom,Male,5/3/16 21:19,No
33.33,45,53350.11,193.58,Pre-emptive value-added workforce,East Samanthashire,Guinea-Bissau,Female,1/17/16 9:31,Yes
50.33,50,62657.53,133.2,Sharable analyzing alliance,South Lauraton,Micronesia,Male,3/2/16 4:57,Yes
62.31,47,62722.57,119.3,Team-oriented encompassing portal,Amandahaven,Turkey,Female,2/14/16 7:36,Yes
80.6,31,67479.62,177.55,Sharable bottom-line solution,Thomasview,Croatia,Female,4/7/16 3:56,No
65.19,36,75254.88,150.61,Cross-group regional website,Garciaside,Israel,Male,2/17/16 11:42,Yes
44.98,49,52336.64,129.31,Organized global model,Port Sarahshire,Svalbard & Jan Mayen Islands,Male,4/10/16 0:13,Yes
77.63,29,56113.37,239.22,Upgradable asynchronous circuit,Port Gregory,Azerbaijan,Female,2/14/16 17:05,No
41.82,41,24852.9,156.36,Phased transitional instruction set,Brendachester,Iran,Male,5/26/16 22:49,Yes
85.61,27,47708.42,183.43,Customer-focused empowering ability,Lake Amy,Burundi,Female,4/30/16 8:07,No
85.84,34,64654.66,192.93,Front-line heuristic data-warehouse,Lake Annashire,Saint Vincent and the Grenadines,Male,6/15/16 5:30,No
72.08,29,71228.44,169.5,Stand-alone national attitude,Smithburgh,Burundi,Female,3/9/16 14:45,No
86.06,32,61601.05,178.92,Focused upward-trending core,North Leonmouth,Bulgaria,Female,3/31/16 20:55,No
45.96,45,66281.46,141.22,Streamlined cohesive conglomeration,Robertfurt,Christmas Island,Male,6/3/16 0:55,Yes
62.42,29,73910.9,198.5,Upgradable optimizing toolset,Jasminefort,Canada,Male,3/10/16 23:36,No
63.89,40,51317.33,105.22,Synchronized user-facing core,Jensenborough,Rwanda,Female,1/8/16 0:17,Yes
35.33,32,51510.18,200.22,Organized client-driven alliance,Bradleyburgh,Turks and Caicos Islands,Male,6/5/16 22:11,Yes
75.74,25,61005.87,215.25,Ergonomic multi-state structure,New Sheila,Tunisia,Male,1/16/16 11:35,No
78.53,34,32536.98,131.72,Synergized multimedia emulation,North Regina,Norfolk Island,Male,4/22/16 20:10,Yes
46.13,31,60248.97,139.01,Customer-focused optimizing moderator,Davidmouth,Bouvet Island (Bouvetoya),Male,2/1/16 9:00,Yes
69.01,46,74543.81,222.63,Advanced full-range migration,New Michaeltown,Turks and Caicos Islands,Female,7/7/16 13:37,No
55.35,39,75509.61,153.17,De-engineered object-oriented protocol,East Tammie,Cook Islands,Male,3/8/16 0:37,Yes
33.21,43,42650.32,167.07,Polarized clear-thinking budgetary management,Wilcoxport,Turkey,Male,5/10/16 17:39,Yes
38.46,42,58183.04,145.98,Customizable 6thgeneration knowledge user,East Michaelmouth,Guatemala,Female,4/6/16 11:24,Yes
64.1,22,60465.72,215.93,Seamless object-oriented structure,East Tiffanyport,Cote d'Ivoire,Male,4/1/16 16:21,No
49.81,35,57009.76,120.06,Seamless real-time array,Ramirezhaven,Faroe Islands,Female,1/5/16 4:18,Yes
82.73,33,54541.56,238.99,Grass-roots impactful system engine,Cranemouth,Qatar,Female,5/20/16 21:31,No
56.14,38,32689.04,113.53,Devolved tangible approach,Lake Edward,Ireland,Male,2/3/16 7:59,Yes
55.13,45,55605.92,111.71,Customizable executive software,Lake Conniefurt,Ukraine,Female,2/17/16 21:55,Yes
78.11,27,63296.87,209.25,Progressive analyzing attitude,East Shawnchester,Moldova,Male,1/30/16 16:10,No
73.46,28,65653.47,222.75,Innovative executive encoding,West Joseph,Nicaragua,Male,5/15/16 14:41,No
56.64,38,61652.53,115.91,Down-sized uniform info-mediaries,Lake Christopherfurt,Montserrat,Female,1/5/16 17:56,Yes
68.94,54,30726.26,138.71,Streamlined next generation implementation,East Tylershire,Timor-Leste,Male,4/19/16 7:34,Yes
70.79,31,74535.94,184.1,Distributed tertiary system engine,Sharpberg,Bouvet Island (Bouvetoya),Female,3/15/16 15:49,No
57.76,41,47861.93,105.15,Triple-buffered scalable groupware,Lake Dustin,Puerto Rico,Male,6/12/16 15:25,Yes
77.51,36,73600.28,200.55,Total 5thgeneration encoding,North Kristine,Central African Republic,Female,7/1/16 4:41,No
52.7,34,58543.94,118.6,Integrated human-resource encoding,Grahamberg,Venezuela,Female,5/8/16 12:12,Yes
57.7,34,42696.67,109.07,Phased dynamic customer loyalty,New Tina,Australia,Female,3/14/16 23:13,Yes
56.89,37,37334.78,109.29,Open-source coherent policy,Nelsonfurt,Wallis and Futuna,Female,5/25/16 0:19,Yes
69.9,43,71392.53,138.35,Down-sized modular intranet,Christopherport,Jersey,Female,5/13/16 11:51,Yes
55.79,24,59550.05,149.67,Pre-emptive content-based focus group,Port Sarahhaven,Puerto Rico,Male,2/20/16 20:47,Yes
70.03,26,64264.25,227.72,Versatile 4thgeneration system engine,Bradleyborough,Samoa,Female,5/22/16 20:49,No
50.08,40,64147.86,125.85,Ergonomic full-range time-frame,Whiteport,Greece,Female,4/10/16 2:02,Yes
43.67,31,25686.34,166.29,Automated directional function,New Theresa,Antarctica (the territory South of 60 deg S),Male,2/28/16 6:41,Yes
72.84,26,52968.22,238.63,Progressive empowering alliance,Wongland,Albania,Male,7/8/16 21:18,No
45.72,36,22473.08,154.02,Versatile homogeneous capacity,Williammouth,Hong Kong,Male,4/19/16 15:14,Yes
39.94,41,64927.19,156.3,Function-based optimizing protocol,Williamsborough,Lithuania,Female,1/8/16 22:47,Yes
35.61,46,51868.85,158.22,Up-sized secondary software,North Michael,Egypt,Female,3/28/16 8:46,Yes
79.71,34,69456.83,211.65,Seamless holistic time-frame,Benjaminchester,Bangladesh,Female,7/2/16 14:57,No
41.49,53,31947.65,169.18,Persevering reciprocal firmware,Hernandezville,Western Sahara,Male,7/3/16 9:22,Yes
63.6,23,51864.77,235.28,Centralized logistical secured line,Youngburgh,Serbia,Male,6/1/16 9:27,No
89.91,40,59593.56,194.23,Innovative background conglomeration,Wallacechester,Maldives,Female,7/9/16 14:55,No
68.18,21,48376.14,218.17,Switchable 3rdgeneration hub,Sanchezmouth,Czech Republic,Female,2/9/16 22:04,No
66.49,20,56884.74,202.16,Polarized 6thgeneration info-mediaries,Bradshawborough,Guernsey,Female,6/10/16 11:31,No
80.49,40,67186.54,229.12,Balanced heuristic approach,Amyhaven,Tanzania,Female,2/14/16 3:50,No
72.23,25,46557.92,241.03,Focused 24hour implementation,Marcushaven,Bhutan,Female,7/5/16 17:17,No
42.39,42,66541.05,150.99,De-engineered mobile infrastructure,Erinton,Christmas Island,Male,4/28/16 5:50,Yes
47.53,30,33258.09,135.18,Customer-focused upward-trending contingency,Hughesport,Guinea,Male,4/3/16 5:10,Yes
74.02,32,72272.9,210.54,Operative system-worthy protocol,Johnstad,Micronesia,Female,3/9/16 14:57,No
66.63,60,60333.38,176.98,User-friendly upward-trending intranet,New Lucasburgh,Madagascar,Female,1/16/16 23:37,Yes
63.24,53,65229.13,235.78,Future-proofed holistic superstructure,Michelleside,Lebanon,Female,7/3/16 4:33,Yes
71,22,56067.38,211.87,Extended systemic policy,Andersonton,Eritrea,Female,3/14/16 6:46,No
46.13,46,37838.72,123.64,Horizontal hybrid challenge,New Rachel,Guyana,Male,1/9/16 5:44,Yes
69,32,72683.35,221.21,Virtual composite model,Port Susan,Trinidad and Tobago,Male,2/11/16 4:37,No
76.99,31,56729.78,244.34,Switchable mobile framework,West Angelabury,Jersey,Female,6/22/16 7:33,No
72.6,55,66815.54,162.95,Focused intangible moderator,Port Christopherborough,United Arab Emirates,Male,7/13/16 16:12,Yes
61.88,42,60223.52,112.19,Balanced actuating moderator,Phillipsbury,Martinique,Male,7/23/16 11:46,Yes
84.45,50,29727.79,207.18,Customer-focused transitional strategy,Millerside,Somalia,Female,7/13/16 4:10,Yes
88.97,45,49269.98,152.49,Advanced web-enabled standardization,Lake Jessica,Bhutan,Male,6/11/16 18:32,Yes
86.19,31,57669.41,210.26,Pre-emptive executive knowledgebase,Lopezmouth,Greece,Female,5/8/16 12:51,No
49.58,26,56791.75,231.94,Self-enabling holistic process improvement,Johnsport,Benin,Female,4/7/16 16:02,No
77.65,27,63274.88,212.79,Horizontal client-driven hierarchy,South Ronald,Papua New Guinea,Male,2/4/16 13:30,No
37.75,36,35466.8,225.24,Polarized dynamic throughput,South Daniel,Uzbekistan,Female,2/26/16 19:48,Yes
62.33,43,68787.09,127.11,Devolved zero administration intranet,Suzannetown,South Africa,Male,6/21/16 13:15,Yes
79.57,31,61227.59,230.93,User-friendly asymmetric info-mediaries,Lisaberg,Egypt,Male,5/17/16 4:27,No
80.31,44,56366.88,127.07,Cross-platform regional task-force,Brianfurt,Hungary,Female,4/18/16 15:54,Yes
89.05,45,57868.44,206.98,Polarized bandwidth-monitored moratorium,Stewartbury,Falkland Islands (Malvinas),Female,4/3/16 10:07,No
70.41,27,66618.21,223.03,Centralized systematic knowledgebase,Benjaminchester,Dominica,Male,4/4/16 21:30,No
67.36,37,73104.47,233.56,Future-proofed grid-enabled implementation,North Wesleychester,Jersey,Male,7/6/16 16:00,No
46.98,50,21644.91,175.37,Down-sized well-modulated archive,East Michelleberg,Lithuania,Male,5/4/16 9:00,Yes
41.67,36,53817.02,132.55,Realigned zero tolerance emulation,Port Eric,Saint Martin,Female,6/13/16 18:50,Yes
51.24,36,76368.31,176.73,Versatile transitional monitoring,Timothyfurt,Cuba,Female,1/3/16 16:01,Yes
75.7,29,67633.44,215.44,Profound zero administration instruction set,Port Jeffrey,United States Minor Outlying Islands,Male,1/14/16 0:23,No
43.49,47,50335.46,127.83,User-centric intangible task-force,Guzmanland,Belize,Male,1/12/16 10:07,Yes
49.89,39,17709.98,160.03,Enhanced system-worthy application,East Michele,Belize,Female,4/16/16 12:09,Yes
38.37,36,41229.16,140.46,Multi-layered user-facing paradigm,East John,Antarctica (the territory South of 60 deg S),Female,5/13/16 6:09,Yes
38.52,38,42581.23,137.28,Customer-focused 24/7 concept,Lesliebury,Saint Vincent and the Grenadines,Male,3/27/16 23:59,Yes
71.89,23,61617.98,172.81,Function-based transitional complexity,Patriciahaven,Kuwait,Female,2/3/16 23:47,No
75.8,38,70575.6,146.19,Progressive clear-thinking open architecture,Ashleychester,Thailand,Female,4/18/16 11:23,No
83.86,31,64122.36,190.25,Up-sized executive moderator,Lake Josetown,Gibraltar,Male,2/5/16 19:06,No
37.51,30,52097.32,163,Re-contextualized optimal service-desk,Debraburgh,Holy See (Vatican City State),Male,3/21/16 18:46,Yes
55.6,44,65953.76,124.38,Fully-configurable neutral open system,New Debbiestad,Korea,Female,6/14/16 11:59,Yes
83.67,44,60192.72,234.26,Upgradable system-worthy array,West Shaun,Saint Helena,Female,2/6/16 23:08,No
69.08,41,77460.07,210.6,Ergonomic client-driven application,Kimberlyhaven,Turks and Caicos Islands,Female,3/12/16 1:39,No
37.47,44,45716.48,141.89,Realigned content-based leverage,Port Lawrence,Czech Republic,Female,1/26/16 3:56,Yes
56.04,49,65120.86,128.95,Decentralized real-time circuit,West Ricardo,Netherlands,Male,2/7/16 8:02,Yes
70.92,41,49995.63,108.16,Polarized modular function,Lake Jose,Belarus,Female,5/5/16 7:58,Yes
49.78,46,71718.51,152.24,Enterprise-wide client-driven contingency,Heatherberg,Dominica,Female,6/29/16 2:43,Yes
68.61,57,61770.34,150.29,Diverse modular interface,South George,South Africa,Male,4/10/16 19:48,Yes
58.18,25,69112.84,176.28,Polarized analyzing concept,Tinachester,New Zealand,Female,2/10/16 6:37,No
78.54,35,72524.86,172.1,Multi-channeled asynchronous open system,Port Jodi,Togo,Female,5/28/16 20:41,No
37,48,36782.38,158.22,Function-based context-sensitive secured line,Jonathantown,Kenya,Male,3/24/16 6:36,Yes
65.4,33,66699.12,247.31,Adaptive 24hour Graphic Interface,Sylviaview,Palau,Female,2/12/16 22:51,No
79.52,27,64287.78,183.48,Automated coherent flexibility,East Timothyport,Timor-Leste,Male,6/10/16 10:11,No
87.98,38,56637.59,222.11,Focused scalable complexity,West Roytown,Cambodia,Female,3/31/16 10:44,No
44.64,36,55787.58,127.01,Up-sized incremental encryption,Codyburgh,Belize,Male,2/14/16 6:51,Yes
41.73,28,61142.33,202.18,Sharable dedicated Graphic Interface,Port Erikhaven,Cuba,Female,1/7/16 19:16,Yes
80.46,27,61625.87,207.96,Digitized zero administration paradigm,Port Chasemouth,Costa Rica,Female,2/4/16 2:13,No
75.55,36,73234.87,159.24,Managed grid-enabled standardization,Ramirezside,Liechtenstein,Female,5/9/16 2:58,Yes
76.32,35,74166.24,195.31,Networked foreground definition,East Michaeltown,Korea,Female,6/23/16 0:16,No
82.68,33,62669.59,222.77,Re-engineered exuding frame,West Courtney,Ukraine,Male,6/20/16 9:35,No
72.01,31,57756.89,251,Horizontal multi-state interface,West Michaelhaven,Angola,Male,2/29/16 12:31,No
75.83,24,58019.64,162.44,Diverse stable circuit,Walshhaven,Nauru,Female,1/17/16 15:10,No
41.28,50,50960.08,140.39,Universal 24/7 implementation,East Rachelview,Equatorial Guinea,Male,1/29/16 3:54,Yes
34.66,32,48246.6,194.83,Customer-focused multi-tasking Internet solution,Curtisport,Mongolia,Female,7/14/16 12:07,Yes
66.18,55,28271.84,143.42,Vision-oriented contextually-based extranet,Frankbury,Svalbard & Jan Mayen Islands,Female,1/10/16 23:14,Yes
86.06,31,53767.12,219.72,Extended local methodology,Timothytown,Timor-Leste,Male,4/28/16 18:34,No
59.59,42,43662.1,104.78,Re-engineered demand-driven capacity,Samanthaland,Brazil,Male,7/6/16 18:36,Yes
86.69,34,62238.58,198.56,Customer-focused attitude-oriented instruction set,South Jennifer,Chad,Female,5/27/16 6:19,No
43.77,52,49030.03,138.55,Synergized hybrid time-frame,Kyleborough,Portugal,Female,1/25/16 7:39,Yes
71.84,47,76003.47,199.79,Advanced exuding conglomeration,North Randy,Malawi,Female,5/8/16 22:47,No
80.23,31,68094.85,196.23,Secured clear-thinking middleware,South Daniellefort,Qatar,Male,3/19/16 14:23,No
74.41,26,64395.85,163.05,Right-sized value-added initiative,Dianashire,Singapore,Female,7/23/16 4:37,No
63.36,48,70053.27,137.43,Centralized tertiary pricing structure,East Eric,Guinea,Male,6/23/16 1:22,Yes
71.74,35,72423.97,227.56,Multi-channeled reciprocal artificial intelligence,Hammondport,Kazakhstan,Male,7/19/16 18:06,No
60.72,44,42995.8,105.69,Synergized context-sensitive database,Jacobstad,Kuwait,Female,2/28/16 18:52,Yes
72.04,22,60309.58,199.43,Realigned systematic function,Hernandezfort,Rwanda,Female,2/10/16 6:52,No
44.57,31,38349.78,133.17,Adaptive context-sensitive application,Joneston,China,Male,3/27/16 9:11,Yes
85.86,34,63115.34,208.23,Networked high-level structure,New Jeffreychester,Bouvet Island (Bouvetoya),Female,5/23/16 2:15,No
39.85,38,31343.39,145.96,Profit-focused dedicated utilization,East Stephen,Vietnam,Male,1/3/16 3:22,Yes
84.53,27,40763.13,168.34,Stand-alone tangible moderator,Turnerchester,Guatemala,Female,1/4/16 21:48,Yes
62.95,60,36752.24,157.04,Polarized tangible collaboration,Youngfort,Peru,Female,5/24/16 13:30,Yes
67.58,41,65044.59,255.61,Focused high-level conglomeration,Ingramberg,Mayotte,Female,2/1/16 19:42,No
85.56,29,53673.08,210.46,Advanced modular Local Area Network,South Denisefurt,Samoa,Female,6/5/16 13:16,No
46.88,54,43444.86,136.64,Virtual scalable secured line,Port Melissaberg,Singapore,Female,2/4/16 8:53,Yes
46.31,57,44248.52,153.98,Front-line fault-tolerant intranet,Bernardton,Jamaica,Female,3/24/16 13:37,Yes
77.95,31,62572.88,233.65,Inverse asymmetric instruction set,Port Mathew,Bahamas,Male,6/2/16 21:02,No
84.73,30,39840.55,153.76,Synchronized leadingedge help-desk,Aliciatown,Canada,Male,2/21/16 7:42,Yes
39.86,36,32593.59,145.85,Total 5thgeneration standardization,Josephstad,Algeria,Male,6/26/16 17:16,Yes
50.08,30,41629.86,123.91,Sharable grid-enabled matrix,West Ericfurt,Fiji,Female,1/3/16 5:34,Yes
60.23,35,43313.73,106.86,Balanced asynchronous hierarchy,New Brendafurt,Kenya,Male,3/8/16 18:00,Yes
60.7,49,42993.48,110.57,Monitored object-oriented Graphic Interface,Port Julie,Argentina,Male,6/19/16 3:19,Yes
43.67,53,46004.31,143.79,Cloned analyzing artificial intelligence,South Tiffanyton,Bouvet Island (Bouvetoya),Female,7/21/16 21:16,Yes
77.2,33,49325.48,254.05,Persistent homogeneous framework,North Elizabeth,Philippines,Female,2/12/16 20:36,No
71.86,32,51633.34,116.53,Face-to-face even-keeled website,Kentmouth,Senegal,Male,5/17/16 6:14,Yes
44.78,45,63363.04,137.24,Extended context-sensitive monitoring,West Casey,Suriname,Male,7/9/16 11:04,Yes
78.57,36,64045.93,239.32,Exclusive client-driven model,East Henry,Liberia,Female,3/27/16 2:35,No
73.41,31,73049.3,201.26,Profound executive flexibility,Hollyfurt,Guam,Female,1/16/16 8:01,No
77.05,27,66624.6,191.14,Reduced bi-directional strategy,North Anna,United Arab Emirates,Female,1/21/16 23:48,No
66.4,40,77567.85,214.42,Digitized heuristic solution,Port Destiny,Antigua and Barbuda,Female,6/5/16 0:29,No
69.35,29,53431.35,252.77,Seamless 4thgeneration contingency,Ianmouth,Argentina,Female,2/13/16 15:37,No
35.65,40,31265.75,172.58,Seamless intangible secured line,North Johntown,Georgia,Female,5/10/16 7:22,Yes
70.04,31,74780.74,183.85,Intuitive radical forecast,Hannahside,Jordan,Male,3/27/16 3:59,No
69.78,29,70410.11,218.79,Multi-layered non-volatile Graphical User Interface,Wilsonburgh,Saudi Arabia,Female,5/24/16 18:35,No
58.22,29,37345.24,120.9,User-friendly client-server instruction set,North Russellborough,South Africa,Female,2/11/16 2:40,Yes
76.9,28,66107.84,212.67,Synchronized multimedia model,Murphymouth,Croatia,Male,4/22/16 8:31,No
84.08,30,62336.39,187.36,Face-to-face intermediate approach,Carterburgh,Fiji,Male,1/13/16 2:58,No
59.51,58,39132.64,140.83,Assimilated fault-tolerant hub,Penatown,Australia,Male,6/16/16 2:01,Yes
40.15,38,38745.29,134.88,Exclusive disintermediate task-force,Joechester,Sao Tome and Principe,Female,6/27/16 18:37,Yes
76.81,28,65172.22,217.85,Managed zero tolerance concept,East Paul,Fiji,Male,7/3/16 12:57,No
41.89,38,68519.96,163.38,Compatible systemic function,Hartmanchester,Cyprus,Male,2/3/16 4:21,Yes
76.87,27,54774.77,235.35,Configurable fault-tolerant monitoring,Mcdonaldfort,Kyrgyz Republic,Female,5/29/16 21:17,No
67.28,43,76246.96,155.8,Future-proofed coherent hardware,North Mercedes,Pakistan,Male,4/3/16 21:13,Yes
81.98,40,65461.92,229.22,Ameliorated upward-trending definition,Taylorberg,Seychelles,Male,4/15/16 11:51,No
66.01,23,34127.21,151.95,Front-line tangible alliance,Hansenmouth,Samoa,Female,6/21/16 3:14,Yes
61.57,53,35253.98,125.94,Progressive 24hour forecast,Bradyfurt,Bulgaria,Male,3/14/16 14:13,Yes
53.3,34,44893.71,111.94,Self-enabling optimal initiative,West Jessicahaven,Mauritania,Female,5/6/16 21:07,Yes
34.87,40,59621.02,200.23,Configurable logistical Graphical User Interface,Davilachester,Czech Republic,Male,6/12/16 17:52,Yes
43.6,38,20856.54,170.49,Virtual bandwidth-monitored initiative,North Ricardotown,Chile,Female,1/11/16 7:36,Yes
77.88,37,55353.41,254.57,Multi-tiered human-resource structure,Melissafurt,Poland,Male,7/2/16 0:24,No
75.83,27,67516.07,200.59,Managed upward-trending instruction set,East Brianberg,Estonia,Female,3/4/16 10:13,No
49.95,39,68737.75,136.59,Cloned object-oriented benchmark,Millerbury,Turkmenistan,Female,3/24/16 9:12,Yes
60.94,41,76893.84,154.97,Fundamental fault-tolerant neural-net,Garciaview,Latvia,Female,2/14/16 7:30,Yes
89.15,42,59886.58,171.07,Phased zero administration success,Townsendfurt,Fiji,Female,4/25/16 7:30,No
78.7,30,53441.69,133.99,Compatible intangible customer loyalty,Williamstad,Turkey,Male,2/10/16 19:20,Yes
57.35,29,41356.31,119.84,Distributed 3rdgeneration definition,West Connor,Kazakhstan,Female,4/23/16 14:34,Yes
34.86,38,49942.66,154.75,Pre-emptive cohesive budgetary management,West Justin,Bahrain,Female,6/18/16 17:56,Yes
70.68,31,74430.08,199.08,Configurable multi-state utilization,Robertbury,Colombia,Female,7/17/16 1:58,No
